id,name,lat,lng,brand,inactive,address,city,state,postcode,telephone,country,amenities,website_url,formatted_address,mdm_site_category,open_status,fuels
10048387,4936 ALBEMARLE RD STE B,35.200377,-80.762998,Shell,False,4936 ALBEMARLE RD STE B,CHARLOTTE,North Carolina,28205-6618,+1 704-537-8267,United States,"atm,atm_in,carwash,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,service_bay,air_and_water,manned",https://find.shell.com/us/fuel/10048387-4936-albemarle-rd-ste-b,"4936 ALBEMARLE RD STE B
CHARLOTTE, North Carolina, 28205-6618",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10014824,3601 N SHARON AMITY RD,35.208384,-80.757966,Shell,False,3601 N SHARON AMITY RD,CHARLOTTE,North Carolina,28205-5931,+1 704-563-2433,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10014824-3601-n-sharon-amity-rd,"3601 N SHARON AMITY RD
CHARLOTTE, North Carolina, 28205-5931",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10000463,4627 SHARON RD,35.148592,-80.830297,Shell,False,4627 SHARON RD,CHARLOTTE,North Carolina,28211-3523,+1 704-366-7970,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10000463-4627-sharon-rd,"4627 SHARON RD
CHARLOTTE, North Carolina, 28211-3523",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10051109,6308 THE PLZ,35.249425,-80.749367,Shell,False,6308 THE PLZ,CHARLOTTE,North Carolina,28215-2612,+1 704-537-1411,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10051109-6308-the-plz,"6308 THE PLZ
CHARLOTTE, North Carolina, 28215-2612",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10001824,4601 SUNSET RD,35.308057,-80.850128,Shell,False,4601 SUNSET RD,CHARLOTTE,North Carolina,28216-2362,+1 704-597-7980,United States,"atm,atm_in,mobile_payment,food_offerings,loyalty_cards,partner_loyalty_accepted,twenty_four_hour,navigator_fleet_loyalty_discount,restaurant,shop,loyalty_program,mcx,other_loyalty_cards,navigator,air_and_water,navigator_3c_discount,manned",https://find.shell.com/us/fuel/10001824-4601-sunset-rd,"4601 SUNSET RD
CHARLOTTE, North Carolina, 28216-2362",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel,fuelsave_98"
10048723,6300 ALBEMARLE RD,35.202656,-80.738257,Shell,False,6300 ALBEMARLE RD,CHARLOTTE,North Carolina,28212-3814,+1 704-563-6733,United States,"carwash,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10048723-6300-albemarle-rd,"6300 ALBEMARLE RD
CHARLOTTE, North Carolina, 28212-3814",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
12482328,507 OLD LITTLE ROCK RD,35.273912,-80.936871,Shell,False,507 OLD LITTLE ROCK RD,CHARLOTTE,North Carolina,28214-1928,+1 704-392-5563,United States,"atm,atm_in,mobile_payment,shop,mcx,air_and_water,manned",https://find.shell.com/us/fuel/12482328-507-old-little-rock-rd,"507 OLD LITTLE ROCK RD
CHARLOTTE, North Carolina, 28214-1928",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline"
13033771,7837 NATIONS FORD RD,35.146227,-80.895635,Shell,False,7837 NATIONS FORD RD,CHARLOTTE,North Carolina,28217-8019,+1 704-565-5401,United States,"atm,atm_in,mobile_payment,twenty_four_hour,shop,mcx,manned",https://find.shell.com/us/fuel/13033771-7837-nations-ford-rd,"7837 NATIONS FORD RD
CHARLOTTE, North Carolina, 28217-8019",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline"
12745945,10100 MOORES CHAPEL RD,35.27391,-80.9687,Shell,False,10100 MOORES CHAPEL RD,CHARLOTTE,North Carolina,28214-8789,+1 704-526-0137,United States,"atm,atm_in,mobile_payment,food_offerings,twenty_four_hour,restaurant,shop,mcx,manned",https://find.shell.com/us/fuel/12745945-10100-moores-chapel-rd,"10100 MOORES CHAPEL RD
CHARLOTTE, North Carolina, 28214-8789",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10001660,2624 SAM WILSON RD,35.25559,-80.982113,Shell,False,2624 SAM WILSON RD,CHARLOTTE,North Carolina,28214-9087,+1 980-225-7354,United States,"atm,atm_in,mobile_payment,loyalty_cards,partner_loyalty_accepted,navigator_fleet_loyalty_discount,shop,loyalty_program,mcx,other_loyalty_cards,navigator,air_and_water,navigator_3c_discount,manned",https://find.shell.com/us/fuel/10001660-2624-sam-wilson-rd,"2624 SAM WILSON RD
CHARLOTTE, North Carolina, 28214-9087",Conventional Fuel Site,open,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10001662,5721 CARMEL RD,35.098515,-80.837985,Shell,False,5721 CARMEL RD,CHARLOTTE,North Carolina,28226-8103,+1 704-542-5898,United States,"atm,atm_in,mobile_payment,food_offerings,loyalty_cards,restaurant,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10001662-5721-carmel-rd,"5721 CARMEL RD
CHARLOTTE, North Carolina, 28226-8103",Conventional Fuel Site,open,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
13035614,9810 HIGHWAY 49,35.308245,-80.719588,Shell,False,9810 HIGHWAY 49,CHARLOTTE,North Carolina,28213-3610,,United States,"atm,atm_in,mobile_payment,food_offerings,twenty_four_hour,restaurant,shop,mcx,manned",https://find.shell.com/us/fuel/13035614-9810-highway-49,"9810 HIGHWAY 49
CHARLOTTE, North Carolina, 28213-3610",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline"
10014822,668 W JOHN ST,35.122013,-80.72818,Shell,False,668 W JOHN ST,MATTHEWS,North Carolina,28105-5351,+1 704-845-1260,United States,"atm,atm_in,carwash,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10014822-668-w-john-st,"668 W JOHN ST
MATTHEWS, North Carolina, 28105-5351",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10001658,10308 ALBEMARLE RD,35.208145,-80.669672,Shell,False,10308 ALBEMARLE RD,MINT HILL,North Carolina,28227-3561,+1 704-573-2615,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10001658-10308-albemarle-rd,"10308 ALBEMARLE RD
MINT HILL, North Carolina, 28227-3561",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline"
10089969,12007 SAM ROPER DR,35.369835,-80.833216,Shell,False,12007 SAM ROPER DR,CHARLOTTE,North Carolina,28269-0000,+1 704-875-0935,United States,"atm,atm_in,mobile_payment,loyalty_cards,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10089969-12007-sam-roper-dr,"12007 SAM ROPER DR
CHARLOTTE, North Carolina, 28269-0000",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10015679,13209 CAROWINDS BLVD,35.117294,-80.956888,Shell,False,13209 CAROWINDS BLVD,CHARLOTTE,North Carolina,28273-6735,+1 704-504-0775,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10015679-13209-carowinds-blvd,"13209 CAROWINDS BLVD
CHARLOTTE, North Carolina, 28273-6735",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10004184,1009 E CUMBERLAND ST,35.301015,-78.600038,Shell,False,1009 E CUMBERLAND ST,DUNN,North Carolina,28334-5117,+1 910-892-2244,United States,"atm,atm_in,mobile_payment,partner_loyalty_accepted,shop,loyalty_program,mcx,kroger,air_and_water,manned",https://find.shell.com/us/fuel/10004184-1009-e-cumberland-st,"1009 E CUMBERLAND ST
DUNN, North Carolina, 28334-5117",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10047591,3916 GOLDSBORO RD,35.122261,-78.74993,Shell,False,3916 GOLDSBORO RD,WADE,North Carolina,28395-8782,+1 910-485-6233,United States,"atm,atm_in,mobile_payment,food_offerings,partner_loyalty_accepted,twenty_four_hour,navigator_fleet_loyalty_discount,restaurant,shop,loyalty_program,mcx,navigator,air_and_water,navigator_3c_discount,manned",https://find.shell.com/us/fuel/10047591-3916-goldsboro-rd,"3916 GOLDSBORO RD
WADE, North Carolina, 28395-8782",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
13140479,14523 CAROWINDS BOULEVARD,35.104333,-80.945189,Shell,False,14523 Carowinds Boulevard,Charlotte,North Carolina,28273-0000,,United States,"twenty_four_hour,shop,twenty_four_hour_ev_service,manned",https://find.shell.com/us/fuel/13140479-14523-carowinds-boulevard,"14523 Carowinds Boulevard
Charlotte, North Carolina, 28273-0000",Destination Charging (EV),twenty_four_hour,shell_recharge
10005457,12740 LANCASTER HWY,35.069015,-80.878154,Shell,False,12740 LANCASTER HWY,PINEVILLE,North Carolina,28134-6381,+1 704-341-8443,United States,"atm,atm_in,mobile_payment,food_offerings,partner_loyalty_accepted,twenty_four_hour,restaurant,shop,loyalty_program,mcx,bilo,air_and_water,manned",https://find.shell.com/us/fuel/10005457-12740-lancaster-hwy,"12740 LANCASTER HWY
PINEVILLE, North Carolina, 28134-6381",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10001663,10636 PROVIDENCE RD,35.065106,-80.770405,Shell,False,10636 PROVIDENCE RD,CHARLOTTE,North Carolina,28277-0233,+1 704-846-3597,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10001663-10636-providence-rd,"10636 PROVIDENCE RD
CHARLOTTE, North Carolina, 28277-0233",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline"
10012200,65 SADLER RD,35.318269,-78.57504,Shell,False,65 SADLER RD,DUNN,North Carolina,28334-5180,+1 910-891-4213,United States,"atm,atm_in,mobile_payment,food_offerings,twenty_four_hour,restaurant,shop,mcx,air_and_water,manned",https://find.shell.com/us/fuel/10012200-65-sadler-rd,"65 SADLER RD
DUNN, North Carolina, 28334-5180",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline"
12686844,7030 MAXWELL RD,35.062294,-78.696966,Shell,False,7030 MAXWELL RD,STEDMAN,North Carolina,28391-8736,+1 910-484-5972,United States,"atm,atm_in,mobile_payment,food_offerings,vehicle_identity_system,restaurant,shop,mcx,air_and_water,manned",https://find.shell.com/us/fuel/12686844-7030-maxwell-rd,"7030 MAXWELL RD
STEDMAN, North Carolina, 28391-8736",Conventional Fuel Site,open,"premium_gasoline,midgrade_gasoline,low_octane_gasoline"
13041247,16806 SPIVEYS CORNER HWY,35.194418,-78.486078,Shell,False,16806 SPIVEYS CORNER HWY,DUNN,North Carolina,28334-1813,+1 910-567-4126,United States,"atm,atm_in,mobile_payment,food_offerings,restaurant,shop,mcx,service_bay,manned",https://find.shell.com/us/fuel/13041247-16806-spiveys-corner-hwy,"16806 SPIVEYS CORNER HWY
DUNN, North Carolina, 28334-1813",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline"
10056983,254 E CORNELIUS HARNETT BLVD,35.415846,-78.800088,Shell,False,254 E CORNELIUS HARNETT BLVD,LILLINGTON,North Carolina,27546-6697,+1 910-814-2339,United States,"mobile_payment,mcx,air_and_water,manned",https://find.shell.com/us/fuel/10056983-254-e-cornelius-harnett-blvd,"254 E CORNELIUS HARNETT BLVD
LILLINGTON, North Carolina, 27546-6697",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10086662,2240 N BRAGG BLVD,35.204777,-78.990436,Shell,False,2240 N BRAGG BLVD,SPRING LAKE,North Carolina,28390-9567,+1 910-849-3483,United States,"mobile_payment,mcx,air_and_water,manned",https://find.shell.com/us/fuel/10086662-2240-n-bragg-blvd,"2240 N BRAGG BLVD
SPRING LAKE, North Carolina, 28390-9567",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10005229,1420 HARNETT DUNN HWY,35.249143,-78.379891,Shell,False,1420 HARNETT DUNN HWY,NEWTON GROVE,North Carolina,28366-9751,+1 910-594-0321,United States,"atm,atm_in,mobile_payment,food_offerings,partner_loyalty_accepted,twenty_four_hour,restaurant,shop,loyalty_program,mcx,kroger,air_and_water,manned",https://find.shell.com/us/fuel/10005229-1420-harnett-dunn-hwy,"1420 HARNETT DUNN HWY
NEWTON GROVE, North Carolina, 28366-9751",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
12384238,1943 NC HIGHWAY 87,35.254116,-79.031135,Shell,False,1943 NC HIGHWAY 87,CAMERON,North Carolina,28326-0000,+1 919-343-1701,United States,"atm,atm_in,mobile_payment,partner_loyalty_accepted,shop,loyalty_program,mcx,kroger,air_and_water,manned",https://find.shell.com/us/fuel/12384238-1943-nc-highway-87,"1943 NC HIGHWAY 87
CAMERON, North Carolina, 28326-0000",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
12531057,4120 HWY 87,34.949191,-78.845659,Shell,False,4120 HWY 87,FAYETTEVILLE,North Carolina,28306-8128,+1 910-321-6020,United States,"atm,atm_in,carwash,mobile_payment,food_offerings,partner_loyalty_accepted,navigator_fleet_loyalty_discount,restaurant,shop,loyalty_program,mcx,navigator,air_and_water,navigator_3c_discount,manned",https://find.shell.com/us/fuel/12531057-4120-hwy-87,"4120 HWY 87
FAYETTEVILLE, North Carolina, 28306-8128",Conventional Fuel Site,open,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10004270,11960 NC HWY 210,35.516285,-78.554098,Shell,False,11960 NC HWY 210,BENSON,North Carolina,27504-7686,+1 919-938-0784,United States,"atm,atm_in,carwash,mobile_payment,food_offerings,twenty_four_hour,restaurant,shop,mcx,air_and_water,manned",https://find.shell.com/us/fuel/10004270-11960-nc-hwy-210,"11960 NC HWY 210
BENSON, North Carolina, 27504-7686",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10083856,6915 CLIFFDALE RD,35.060378,-79.014006,Shell,False,6915 CLIFFDALE RD,FAYETTEVILLE,North Carolina,28314-2847,+1 910-677-0066,United States,"mobile_payment,vehicle_identity_system,twenty_four_hour,mcx,air_and_water,manned",https://find.shell.com/us/fuel/10083856-6915-cliffdale-rd,"6915 CLIFFDALE RD
FAYETTEVILLE, North Carolina, 28314-2847",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel,fuelsave_98"
13022495,1545 NC 24-27 HWY,35.272127,-79.083764,Shell,False,15452427 NC 24-27 HWY,CAMERON,North Carolina,28326-9856,+1 910-245-4777,United States,"atm,atm_in,mobile_payment,shop,mcx,manned",https://find.shell.com/us/fuel/13022495-1545-nc-24-27-hwy,"15452427 NC 24-27 HWY
CAMERON, North Carolina, 28326-9856",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline"
12406915,5722 ROCKFISH RD,34.973269,-78.953921,Shell,False,5722 ROCKFISH RD,HOPE MILLS,North Carolina,28348-1860,+1 910-500-9338,United States,"atm,atm_in,mobile_payment,vehicle_identity_system,shop,mcx,air_and_water,manned",https://find.shell.com/us/fuel/12406915-5722-rockfish-rd,"5722 ROCKFISH RD
HOPE MILLS, North Carolina, 28348-1860",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
12828705,2070 STRICKLAND BRIDGE RD,35.014888,-79.009559,Shell,False,2070 STRICKLAND BRIDGE RD,FAYETTEVILLE,North Carolina,28304-0469,+1 910-491-0989,United States,"atm,atm_in,mobile_payment,shop,mcx,manned",https://find.shell.com/us/fuel/12828705-2070-strickland-bridge-rd,"2070 STRICKLAND BRIDGE RD
FAYETTEVILLE, North Carolina, 28304-0469",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10083878,277 NC HIGHWAY 24,35.281888,-79.102736,Shell,False,277 NC HIGHWAY 24,CAMERON,North Carolina,28326-7661,+1 919-499-1480,United States,"atm,atm_in,mobile_payment,food_offerings,vehicle_identity_system,restaurant,shop,mcx,air_and_water,manned",https://find.shell.com/us/fuel/10083878-277-nc-highway-24,"277 NC HIGHWAY 24
CAMERON, North Carolina, 28326-7661",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10060584,6049 CAMDEN RD,34.979277,-78.979108,Shell,False,6049 CAMDEN RD,HOPE MILLS,North Carolina,28348-0000,+1 910-223-3210,United States,"atm,atm_in,mobile_payment,vehicle_identity_system,shop,mcx,air_and_water,manned",https://find.shell.com/us/fuel/10060584-6049-camden-rd,"6049 CAMDEN RD
HOPE MILLS, North Carolina, 28348-0000",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
